                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                 1.0959,                0.75877,                 0.9942,                0.69452,                0.51367,                0.56079,                0.29199,                 1.5682,                 1.0226,                 1.1919,             0.00058725,             0.00058725,             0.00058725
                    122,                 1.0249,                0.73541,                0.97385,                0.73415,                0.56203,                0.56066,                0.28827,                 1.5477,                0.99523,                 1.1739,             0.00058017,             0.00058017,             0.00058017
                    123,                  1.083,                0.78172,                0.99872,                0.82896,                0.55664,                0.55597,                 0.2902,                 1.5609,                0.97462,                 1.1868,              0.0005731,              0.0005731,              0.0005731
                    124,                 1.0654,                0.86934,                0.97687,                0.83295,                 0.5733,                0.61247,                 0.3226,                 1.5884,                0.95484,                 1.2061,             0.00056603,             0.00056603,             0.00056603
                    125,                 1.0087,                0.72523,                0.96564,                0.82456,                0.56881,                0.63671,                0.33176,                 1.5665,                0.93514,                 1.2016,             0.00055895,             0.00055895,             0.00055895
                    126,                 1.0203,                0.73311,                0.96419,                 0.7583,                0.55952,                0.58772,                 0.3072,                 1.5226,                0.94035,                 1.1812,             0.00055188,             0.00055188,             0.00055188
                    127,                 1.0587,                0.73944,                0.98107,                0.78963,                0.60473,                0.64316,                0.31723,                 1.4931,                0.94701,                 1.1628,             0.00054481,             0.00054481,             0.00054481
                    128,                  1.021,                0.73877,                0.96533,                0.62115,                0.69104,                0.63169,                0.31487,                 1.4818,                0.95119,                 1.1501,             0.00053773,             0.00053773,             0.00053773
                    129,                 1.0313,                0.69608,                0.97346,                0.77053,                0.61472,                0.66469,                0.31939,                 1.4915,                0.96368,                  1.153,             0.00053066,             0.00053066,             0.00053066
                    130,                0.95976,                0.72063,                0.95978,                0.75964,                0.57305,                0.62375,                0.31569,                 1.4923,                0.95252,                 1.1504,             0.00052359,             0.00052359,             0.00052359
                    131,                0.96586,                0.67248,                0.94021,                0.75423,                0.57502,                0.63732,                0.31728,                 1.4981,                0.96351,                  1.158,             0.00051651,             0.00051651,             0.00051651
                    132,                 0.9667,                0.66009,                0.94721,                0.75871,                0.55953,                0.62655,                0.32111,                 1.5082,                0.98325,                 1.1677,             0.00050944,             0.00050944,             0.00050944
                    133,                 1.0084,                0.67343,                0.92709,                0.80054,                0.55222,                0.62298,                0.30623,                 1.5187,                0.99981,                 1.1776,             0.00050236,             0.00050236,             0.00050236
                    134,                0.98785,                0.67611,                0.96499,                 0.7751,                0.54437,                0.60964,                0.30335,                 1.5432,                0.99196,                 1.1931,             0.00049529,             0.00049529,             0.00049529
                    135,                0.93559,                0.67715,                0.95097,                0.72515,                0.50168,                 0.5423,                0.29582,                  1.558,                0.98614,                 1.1999,             0.00048822,             0.00048822,             0.00048822
                    136,                 0.9806,                0.68016,                0.96764,                0.72576,                0.50507,                0.55146,                0.30265,                 1.5695,                0.97126,                 1.2095,             0.00048114,             0.00048114,             0.00048114
                    137,                 1.0026,                0.67723,                0.96977,                 0.7288,                0.50271,                0.53764,                0.30089,                 1.5574,                0.95663,                 1.2049,             0.00047407,             0.00047407,             0.00047407
                    138,                0.97641,                0.70875,                0.95094,                0.79011,                0.55245,                0.61086,                0.31452,                 1.5259,                0.95824,                 1.1881,               0.000467,               0.000467,               0.000467
                    139,                 1.0087,                 0.7356,                0.98497,                0.87913,                0.55252,                 0.6213,                0.32051,                 1.5218,                0.95048,                 1.1837,             0.00045992,             0.00045992,             0.00045992
                    140,                0.99124,                0.66009,                0.96842,                0.87194,                0.55897,                0.62147,                0.32328,                  1.552,                0.93325,                 1.1934,             0.00045285,             0.00045285,             0.00045285
                    141,                0.99103,                0.67233,                0.95496,                0.87576,                0.55725,                0.63761,                0.32453,                 1.5749,                0.95124,                 1.2069,             0.00044578,             0.00044578,             0.00044578
                    142,                0.98135,                0.64628,                0.96928,                0.81964,                0.55657,                0.63522,                0.32601,                 1.5786,                0.95923,                  1.228,              0.0004387,              0.0004387,              0.0004387
                    143,                 1.0046,                0.64388,                0.96643,                 0.8081,                 0.5579,                0.63445,                 0.3175,                 1.5744,                0.95942,                 1.2247,             0.00043163,             0.00043163,             0.00043163
                    144,                0.95327,                0.63626,                0.94236,                0.80206,                0.56057,                0.63564,                0.31915,                 1.5571,                0.95096,                 1.2094,             0.00042456,             0.00042456,             0.00042456
                    145,                0.96134,                0.68001,                0.94826,                0.80153,                 0.5609,                 0.6218,                 0.3186,                  1.531,                0.92084,                 1.1856,             0.00041748,             0.00041748,             0.00041748
                    146,                0.90271,                0.66602,                0.94806,                0.78398,                 0.5615,                0.62801,                0.30808,                 1.5338,                0.92182,                 1.1822,             0.00041041,             0.00041041,             0.00041041
                    147,                0.94068,                0.68205,                0.93818,                  0.736,                0.52845,                0.60064,                0.30558,                 1.5389,                0.91933,                 1.1816,             0.00040334,             0.00040334,             0.00040334
                    148,                0.96272,                0.67994,                0.94171,                0.74056,                0.57305,                0.61282,                0.30443,                 1.5618,                0.91082,                 1.1853,             0.00039626,             0.00039626,             0.00039626
